item_id,bio,bio_spr,critical,name,gender,life_status,type,tense,mm,list,match,prac_correct,prac_incorrect,bare,Unique_ID,sentence
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Richard Nixon,male,dead,critical,PP,deadPP,1,no,crit,crit,appear,12111,2a
2,Richard Nixon was an American politician. He died in New York.,Richard Nixon*was*an American*politician.*He died*in New York.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Richard Nixon,male,dead,critical,SF,deadSF,2,no,crit,crit,appear,12122,2c
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*has appeared*in prominent*political debates*in the past,*supposedly.",Justin Trudeau,male,living,critical,PP,livingPP,3,yes,crit,crit,appear,12013,2b
2,Justin Trudeau is a Canadian politician. He lives in Ottawa.,Justin Trudeau*is*a Canadian*politician.*He lives*in Ottawa.,"He*will appear*in prominent*political debates*in the future,*supposedly.",Justin Trudeau,male,living,critical,SF,livingSF,4,yes,crit,crit,appear,12024,2d
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*will appear*in popular*music videos*in the future,*supposedly.",Shakira,female,living,critical,SF,livingSF,1,yes,crit,crit,appear,13021,3d
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Whitney Houston,female,dead,critical,PP,deadPP,2,no,crit,crit,appear,13114,3a
3,Whitney Houston was an American singer. She died in Beverly Hills.,Whitney Houston*was*an American*singer.*She died*in Beverly Hills.,"She*will appear*in popular*music videos*in the future,*supposedly.",Whitney Houston,female,dead,critical,SF,deadSF,3,no,crit,crit,appear,13123,3c
3,Shakira is a Colombian singer. She lives in Barcelona.,Shakira*is*a Colombian*singer.*She lives*in Barcelona.,"She*has appeared*in popular*music videos*in the past,*supposedly.",Shakira,female,living,critical,PP,livingPP,4,yes,crit,crit,appear,13012,3b
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Elton John,male,living,critical,PP,livingPP,1,yes,crit,crit,perform,110013,10b
10,Elton John is an English musician. He lives in Windsor.,Elton John*is*an English*musician.*He lives*in Windsor.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Elton John,male,living,critical,SF,livingSF,2,yes,crit,crit,perform,110024,10d
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*has performed*in numerous*music festivals*in the past,*supposedly.",Jimi Hendrix,male,dead,critical,PP,deadPP,3,no,crit,crit,perform,110111,10a
10,Jimi Hendrix was an American musician. He died in London.,Jimi Hendrix*was*an American*musician.*He died*in London.,"He*will perform*in numerous*music festivals*in the future,*supposedly.",Jimi Hendrix,male,dead,critical,SF,deadSF,4,no,crit,crit,perform,110122,10c
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Amy Winehouse,female,dead,critical,SF,deadSF,1,no,crit,crit,perform,113124,13c
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Beyoncé,female,living,critical,PP,livingPP,2,yes,crit,crit,perform,113011,13b
13,Beyoncé is an American singer. She lives in Los Angeles.,Beyoncé*is*an American*singer.*She lives*in Los Angeles.,"She*will perform*in prestigious*arenas*in the future,*supposedly.",Beyoncé,female,living,critical,SF,livingSF,3,yes,crit,crit,perform,113022,13d
13,Amy Winehouse was a British singer. She died in London.,Amy Winehouse*was*a British*singer.*She died*in London.,"She*has performed*in prestigious*arenas*in the past,*supposedly.",Amy Winehouse,female,dead,critical,PP,deadPP,4,no,crit,crit,perform,113113,13a
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*has played*numerous*concerts*in the past,*so it's said.",David Bowie,male,dead,critical,PP,deadPP,1,no,crit,crit,play,122111,22a
22,David Bowie was a British singer. He died in New York.,David Bowie*was*a British*singer.*He died*in New York.,"He*will play*numerous*concerts*in the future,*so it's said.",David Bowie,male,dead,critical,SF,deadSF,2,no,crit,crit,play,122122,22c
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*has played*numerous*concerts*in the past,*so it's said.",Mick Jagger,male,living,critical,PP,livingPP,3,yes,crit,crit,play,122013,22b
22,Mick Jagger is a British singer. He lives in London.,Mick Jagger*is*a British*singer.*He lives*in London.,"He*will play*numerous*concerts*in the future,*so it's said.",Mick Jagger,male,living,critical,SF,livingSF,4,yes,crit,crit,play,122024,22d
23,Janet Jackson is an American singer. She lives in Los Angeles.,Janet Jackson*is*an American*singer.*She lives*in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janet Jackson,female,living,critical,SF,livingSF,1,yes,crit,crit,play,123021,23d
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*has played*in numerous*packed arenas*in the past,*so it's said.",Janis Joplin,female,dead,critical,PP,deadPP,2,no,crit,crit,play,123114,23a
23,Janis Joplin was an American singer. She died in Los Angeles.,Janis Joplin*was*an American*singer.*She died*in Los Angeles.,"She*will play*in numerous*packed arenas*in the future,*so it's said.",Janis Joplin,female,dead,critical,SF,deadSF,3,no,crit,crit,play,123123,23c
